,locality,proprety_type,price,bedrooms,area,equipped_kitchen,furnished,terrace,terrace_area,garden,garden_area,surface,surface_plot,facades,state,swimming_pool
148,1544,156,55000,2.0,201.43684820393972,1,0.0,0.0,0.0,0.0,0.0,201.43684820393972,1380.0,2.0,4,0.0
149,938,440,55000,2.0,112.0,1,0.0,0.0,0.0,0.0,0.0,112.0,131.0,2.0,6,0.0
150,972,18,55000,1.0,32.0,3,1.0,0.0,0.0,0.0,0.0,32.0,32.0,2.0,0,0.0
151,871,411,55000,2.0,201.43684820393972,3,0.0,1.0,3.0,0.0,0.0,201.43684820393972,201.43684820393972,4.0,0,0.0
152,1862,423,55000,2.0,22.0,1,1.0,0.0,0.0,0.0,0.0,22.0,22.0,2.0,1,0.0
153,1730,48,55000,2.0,201.43684820393972,1,0.0,0.0,0.0,0.0,0.0,201.43684820393972,201.43684820393972,2.0,6,0.0
154,1789,423,55000,2.0,20.0,1,0.0,0.0,0.0,0.0,0.0,20.0,20.0,2.0,3,0.0
155,961,66,55000,2.0,40.0,3,0.0,0.0,0.0,0.0,0.0,40.0,320.0,4.0,1,0.0
156,1072,423,55000,2.0,201.43684820393972,3,0.0,0.0,0.0,0.0,0.0,201.43684820393972,201.43684820393972,2.0,1,0.0
157,1034,156,55000,3.0,201.43684820393972,1,0.0,0.0,0.0,0.0,0.0,201.43684820393972,101.0,2.0,3,0.0
158,107,66,55000,2.0,201.43684820393972,1,0.0,0.0,0.0,0.0,0.0,201.43684820393972,201.43684820393972,4.0,4,0.0
159,1381,156,55000,2.0,201.43684820393972,1,0.0,0.0,0.0,0.0,0.0,201.43684820393972,80.0,2.0,6,0.0
160,1639,156,55000,3.0,122.0,1,0.0,0.0,0.0,0.0,0.0,122.0,78.0,2.0,6,0.0
161,1569,156,55000,2.0,201.43684820393972,2,0.0,0.0,0.0,0.0,0.0,201.43684820393972,190.0,2.0,6,0.0
162,1574,156,55000,2.0,201.43684820393972,2,0.0,0.0,0.0,0.0,0.0,201.43684820393972,350.0,2.0,6,0.0
163,958,49,55000,2.0,201.43684820393972,1,0.0,0.0,0.0,0.0,0.0,201.43684820393972,201.43684820393972,2.0,6,0.0
164,1050,156,55000,3.0,60.0,1,0.0,0.0,0.0,0.0,0.0,60.0,60.0,3.0,6,0.0
165,1566,156,55000,3.0,201.43684820393972,1,0.0,0.0,0.0,0.0,0.0,201.43684820393972,201.43684820393972,2.0,6,0.0
166,1914,156,55000,3.0,125.0,1,0.0,0.0,0.0,0.0,0.0,125.0,158.0,2.0,6,0.0
167,1450,423,55000,2.0,201.43684820393972,1,0.0,0.0,0.0,0.0,0.0,201.43684820393972,201.43684820393972,2.0,6,0.0
168,1611,156,55000,1.0,42.0,2,0.0,0.0,0.0,0.0,0.0,42.0,173.0,3.0,4,0.0
169,1119,156,55000,1.0,40.0,1,0.0,0.0,0.0,0.0,0.0,40.0,40.0,2.0,6,0.0
170,1388,156,55000,2.0,201.43684820393972,1,0.0,0.0,0.0,0.0,0.0,201.43684820393972,201.43684820393972,2.0,4,0.0
171,1119,156,56000,2.0,85.0,1,0.0,0.0,0.0,0.0,0.0,85.0,107.0,2.0,6,0.0
172,898,423,56000,2.0,27.0,3,0.0,0.0,0.0,1.0,60000.0,27.0,27.0,2.0,1,0.0
173,757,156,57000,4.0,114.0,3,0.0,0.0,0.0,0.0,0.0,114.0,260.0,2.0,3,0.0
174,1115,156,57000,1.0,80.0,3,0.0,0.0,0.0,1.0,61.0,80.0,80.0,2.0,4,0.0
175,1072,423,58000,1.0,74.0,1,0.0,0.0,0.0,0.0,0.0,74.0,74.0,2.0,6,0.0
176,1864,18,58000,1.0,31.0,1,1.0,0.0,0.0,0.0,0.0,31.0,31.0,2.0,3,0.0
177,1566,156,58000,1.0,201.43684820393972,3,0.0,0.0,0.0,0.0,0.0,201.43684820393972,140.0,2.0,4,0.0
178,1173,156,58000,2.0,80.0,1,0.0,0.0,0.0,0.0,0.0,80.0,170.0,2.0,4,0.0
179,1574,156,58000,2.0,201.43684820393972,2,0.0,0.0,0.0,0.0,0.0,201.43684820393972,192.0,2.0,6,0.0
180,1308,156,58000,2.0,201.43684820393972,1,0.0,0.0,0.0,0.0,0.0,201.43684820393972,76.0,2.0,6,0.0
181,1230,156,58500,2.0,127.0,1,0.0,0.0,0.0,0.0,0.0,127.0,80.0,3.0,4,0.0
182,554,18,59000,1.0,34.0,1,0.0,0.0,0.0,0.0,0.0,34.0,34.0,2.0,6,0.0
183,591,156,59000,1.0,65.0,3,0.0,1.0,9.0,0.0,0.0,65.0,49.0,2.0,6,0.0
184,1586,156,59000,3.0,106.0,1,0.0,0.0,0.0,0.0,0.0,106.0,67.0,2.0,4,0.0
185,1104,156,59000,1.0,54.0,2,0.0,0.0,0.0,0.0,0.0,54.0,54.0,2.0,3,0.0
186,2053,423,59000,2.0,201.43684820393972,2,0.0,0.0,0.0,0.0,0.0,201.43684820393972,201.43684820393972,4.0,4,0.0
187,1162,423,59000,1.0,37.0,1,0.0,0.0,0.0,0.0,0.0,37.0,37.0,2.0,6,0.0
188,286,66,59000,1.0,45.0,1,0.0,0.0,0.0,0.0,0.0,45.0,933.0,4.0,3,0.0
189,1449,156,59000,2.0,92.0,2,0.0,0.0,0.0,0.0,0.0,92.0,65.0,2.0,4,0.0
190,1777,18,59000,1.0,201.43684820393972,1,0.0,0.0,0.0,0.0,0.0,201.43684820393972,201.43684820393972,2.0,4,0.0
191,1312,272,59000,2.0,201.43684820393972,1,0.0,0.0,0.0,0.0,0.0,201.43684820393972,198.0,2.0,4,0.0
192,1104,156,59000,2.0,80.0,2,0.0,0.0,0.0,1.0,20.0,80.0,80.0,2.0,2,0.0
193,1104,156,59000,3.0,201.43684820393972,1,0.0,0.0,0.0,0.0,0.0,201.43684820393972,180.0,2.0,6,0.0
194,1609,156,59000,1.0,201.43684820393972,2,0.0,0.0,0.0,0.0,0.0,201.43684820393972,215.0,2.0,5,0.0
195,1090,156,59000,4.0,201.43684820393972,1,0.0,0.0,0.0,0.0,0.0,201.43684820393972,201.43684820393972,2.0,4,0.0
196,1070,156,59000,4.0,222.0,2,0.0,0.0,0.0,0.0,0.0,222.0,250.0,3.0,4,0.0
197,1067,66,59000,2.0,45.0,3,1.0,1.0,9.0,0.0,0.0,45.0,150.0,4.0,1,0.0
198,1228,156,59000,4.0,106.0,2,0.0,0.0,0.0,0.0,0.0,106.0,89.0,2.0,3,0.0
199,1566,156,59000,2.0,201.43684820393972,3,0.0,0.0,0.0,0.0,0.0,201.43684820393972,201.43684820393972,3.0,3,0.0
200,1517,156,59000,1.0,60.0,1,0.0,0.0,0.0,0.0,0.0,60.0,60.0,3.0,4,0.0
201,1238,156,59000,1.0,85.0,1,0.0,0.0,0.0,0.0,0.0,85.0,85.0,3.0,6,0.0
202,1379,156,59000,1.0,201.43684820393972,2,0.0,0.0,0.0,0.0,0.0,201.43684820393972,184.0,2.0,6,0.0
203,473,423,59000,2.0,27.0,1,0.0,0.0,0.0,0.0,0.0,27.0,27.0,2.0,1,0.0
204,1115,156,59000,1.0,201.43684820393972,1,0.0,0.0,0.0,0.0,0.0,201.43684820393972,201.43684820393972,4.0,4,0.0
205,1117,156,59900,2.0,83.0,3,0.0,0.0,0.0,0.0,0.0,83.0,67.0,2.0,3,0.0
206,1138,156,59900,1.0,51.0,2,0.0,0.0,0.0,1.0,179.0,51.0,51.0,2.0,4,0.0
207,1092,272,59900,2.0,201.43684820393972,1,0.0,0.0,0.0,0.0,0.0,201.43684820393972,7.0,4.0,4,0.0
208,1586,156,60000,1.0,92.0,1,0.0,0.0,0.0,0.0,0.0,92.0,200.0,3.0,4,0.0
209,1436,156,60000,2.0,141.0,1,0.0,0.0,0.0,0.0,0.0,141.0,150.0,2.0,4,0.0
210,1576,156,60000,2.0,164.0,1,0.0,0.0,0.0,0.0,0.0,164.0,170.0,3.0,4,0.0
211,1418,156,60000,4.0,173.0,1,0.0,0.0,0.0,0.0,0.0,173.0,310.0,2.0,4,0.0
212,1300,126,60000,4.0,200.0,1,0.0,0.0,0.0,0.0,0.0,200.0,154.0,4.0,5,0.0
213,551,156,60000,2.0,76.0,1,0.0,0.0,0.0,0.0,0.0,76.0,55.0,2.0,4,0.0
214,1352,66,60000,2.0,140.0,1,0.0,0.0,0.0,0.0,0.0,140.0,1190.0,4.0,6,0.0
215,535,156,60000,2.0,201.43684820393972,1,0.0,0.0,0.0,0.0,0.0,201.43684820393972,60.0,2.0,3,0.0
